"Barcode", "Price", "Catalog", "Detail", "NewPrice", "OldPrice"
"037000823551", "500", "Laundry addition", "", "", ""
"037000823865", "500", "Laundry addition", "", "", ""
"610352011557", "280", "Laundry addition", "", "", ""
"610352011540", "100", "Laundry addition", "", "", ""
"037000823650", "200", "Laundry addition", "", "", ""
"037000971931", "425", "Laundry addition", "", "", ""
"610352011588", "100", "Laundry addition", "", "", ""
"037000291930", "300", "Laundry addition", "", "", ""
"037000949473", "300", "Laundry addition", "", "", ""
"037000823704", "200", "Laundry addition", "", "", ""
"035000391643", "175", "Laundry addition", "", "", ""
"081238198523", "300", "Chemical cleaning", "", "", ""
"720547001017", "500", "Chemical cleaning", "", "", ""
"720547730832", "200", "Chemical cleaning", "", "", ""
"019800001285", "550", "Chemical cleaning", "", "", ""
"722429640222", "300", "Chemical cleaning", "", "", ""
"722429200167", "100", "Chemical cleaning", "", "", ""
"044600315713", "200", "Chemical cleaning", "", "", ""
"030036001900", "200", "Chemical cleaning", "", "", ""
"041911000536", "200", "Chemical cleaning", "", "", ""
"811435001278", "100", "Chemical cleaning", "", "", ""
"054600105689", "285", "Chemical cleaning", "", "", ""
"059647510465", "185", "Chemical cleaning", "", "", ""
"044600301792", "275", "Chemical cleaning", "", "", ""
"019800801373", "325", "Chemical cleaning", "", "", ""
"044600006284", "235", "Chemical cleaning", "", "", ""
"054600002865", "285", "Chemical cleaning", "", "", ""
"059647510458", "185", "Chemical cleaning", "", "", ""
"044600169330", "275", "Chemical cleaning", "", "", ""
"072785115521", "175", "Chemical cleaning", "", "", ""
"019200752176", "200", "Chemical cleaning", "", "", ""
"019200953672", "200", "Chemical cleaning", "", "", ""
"037000499442", "275", "Chemical cleaning", "", "", ""
"037000510222", "300", "Chemical cleaning", "", "", ""
"073078121212", "100", "Chemical cleaning", "", "", ""
"073078012121", "100", "Chemical cleaning", "", "", ""
"016500980346", "200", "Chemical cleaning", "", "", ""
"037000163565", "275", "Chemical cleaning", "", "", ""
"731509584271", "350", "Cosmetic", "", "", ""
"731509584240", "350", "Cosmetic", "", "", ""
"731509584264", "350", "Cosmetic", "", "", ""
"081555733629", "100", "Cosmetic", "", "", ""
"081555737009", "100", "Cosmetic", "", "", ""
"805219179000", "100", "children", "", "", ""
"805219270097", "100", "children", "", "", ""
"805219171264", "100", "children", "", "", ""
"805219699485", "100", "children", "", "", ""
"805219087237", "100", "children", "", "", ""
"805219112229", "100", "children", "", "", ""
"805219087237", "100", "children", "", "", ""
"805219012246", "100", "children", "", "", ""
"805219104675", "100", "children", "", "", ""
"805219178867", "100", "children", "", "", ""
"805219302422", "100", "children", "", "", ""
"805219659021", "100", "children", "", "", ""
"805219107683", "100", "children", "", "", ""
"805219237892", "100", "children", "", "", ""
"805219551028", "100", "children", "", "", ""
"805219550281", "100", "children", "", "", ""
"805219112229", "100", "children", "", "", ""
"805219158043", "100", "children", "", "", ""
"805219158012", "100", "children", "", "", ""
"805219112229", "100", "children", "", "", ""
"805219320112", "100", "children", "", "", ""
"805219151822", "100", "children", "", "", ""
"805219028650", "100", "children", "", "", ""
"805219387900", "100", "children", "", "", ""
"805219107485", "100", "children", "", "", ""
"805219387900", "100", "children", "", "", ""
"805219105030", "100", "children", "", "", ""
"805219430682", "100", "children", "", "", ""
"805219430682", "100", "children", "", "", ""
"805219105030", "100", "children", "", "", ""
"805219181959", "100", "children", "", "", ""
"805219087305", "100", "children", "", "", ""
"805219087305", "100", "children", "", "", ""
"805219151815", "100", "children", "", "", ""
"805219151822", "100", "children", "", "", ""
"805219176009", "100", "children", "", "", ""
"805219381243", "100", "children", "", "", ""
"805219346662", "100", "children", "", "", ""
"805219151792", "100", "children", "", "", ""
"011179370917", "idk", "Unknown", "", "", ""
"011179370719", "idk", "Unknown", "", "", ""
"011179370818", "idk", "Unknown", "", "", ""
"011179371013", "idk", "Unknown", "", "", ""
"430000360376", "idk", "Unknown", "", "", ""
"046500733437", "100", "Fresher", "", "", ""
"062338770024", "100", "Fresher", "", "", ""
"062338758190", "100", "Fresher", "", "", ""
"037000940005", "500", "Fresher", "", "", ""
"037000938224", "300", "Fresher", "", "", ""
"046500737961", "100", "Fresher", "", "", ""
"046500733321", "100", "Fresher", "", "", ""
"046500733338", "100", "Fresher", "", "", ""
"062338852577", "100", "Fresher", "", "", ""
"062338747347", "100", "Fresher", "", "", ""
"037000470922", "500", "Fresher", "", "", ""
"037000319917", "300", "Fresher", "", "", ""
"046500757693", "300", "Fresher", "", "", ""
"046500766527", "300", "Fresher", "", "", ""
"046500757839", "300", "Fresher", "", "", ""
"046500757655", "300", "Fresher", "", "", ""
"046500763540", "300", "Fresher", "", "", ""
"037000938248", "300", "Fresher", "", "", ""
"037000958802", "300", "Fresher", "", "", ""
"814840011702", "350", "Fresher", "", "", ""
"814840011696", "150", "Fresher", "", "", ""
"037000811183", "500", "Fresher", "", "", ""
"037000811138", "300", "Fresher", "", "", ""
"037000956785", "300", "Fresher", "", "", ""
"037000939986", "300", "Fresher", "", "", ""
"037000865889", "300", "Fresher", "", "", ""
"030036002051", "200", "Fresher", "", "", ""
"019200815451", "450", "Fresher", "", "", ""
"030036002204", "200", "Fresher", "", "", ""
"010228212079", "200", "Fresher", "", "", ""
"019200929875", "450", "Fresher", "", "", ""
"010228212093", "200", "Fresher", "", "", ""
"027815597266", "150", "Frozen ham", "", "", ""
"046600005014", "250", "Frozen ham", "", "", ""
"046600005724", "250", "Frozen ham", "", "", ""
"046600220288", "325", "Frozen ham", "", "", ""
"041196010329", "195", "Frozen ham", "", "", ""
"041196915051", "195", "Frozen ham", "", "", ""
"041196914153", "195", "Frozen ham", "", "", ""
"051000211651", "195", "Frozen ham", "", "", ""
"051000211644", "195", "Frozen ham", "", "", ""
"051000208255", "195", "Frozen ham", "", "", ""
"051000128041", "195", "Frozen ham", "", "", ""
"041196910360", "195", "Frozen ham", "", "", ""
"041196410761", "195", "Frozen ham", "", "", ""
"041196010886", "195", "Frozen ham", "", "", ""
"051000005243", "195", "Frozen ham", "", "", ""
"051000005564", "195", "Frozen ham", "", "", ""
"051000142931", "195", "Frozen ham", "", "", ""
"041196914160", "195", "Frozen ham", "", "", ""
"041196914030", "195", "Frozen ham", "", "", ""
"041196914016", "195", "Frozen ham", "", "", ""
"051000038852", "195", "Frozen ham", "", "", ""
"051000005687", "195", "Frozen ham", "", "", ""
"051000150073", "195", "Frozen ham", "", "", ""
"033200093343", "500", "Luadry detergent", "", "", ""
"072613461554", "500", "Luadry detergent", "", "", ""
"033200093305", "500", "Luadry detergent", "", "", ""
"033200973324", "500", "Luadry detergent", "", "", ""
"033200095538", "500", "Luadry detergent", "", "", ""
"027815411098", "425", "Frozen ham", "", "", ""
"027815004375", "350", "Frozen ham", "", "", ""
"046600009791", "350", "Frozen ham", "", "", ""
"027815004382", "350", "Frozen ham", "", "", ""
"046600009760", "350", "Frozen ham", "", "", ""
"027815308114", "365", "Frozen ham", "", "", ""
"027815003200", "365", "Frozen ham", "", "", ""
"037000823049", "500", "softeners", "", "", ""
"037000900993", "500", "softeners", "", "", ""
"035000744579", "300", "Toothpastes", "", "", ""
"035000741288", "500", "Toothpastes", "", "", ""
"035000741196", "300", "Toothpastes", "", "", ""
"037000703075", "550", "Toothpastes", "", "", ""
"037000385844", "300", "Toothpastes", "", "", ""
"035000762320", "325", "Toothpastes", "", "", ""
"035000762221", "325", "Toothpastes", "", "", ""
"037000946403", "350", "Toothpastes", "", "", ""
"037000946274", "350", "Toothpastes", "", "", ""
"037000946656", "375", "Toothpastes", "", "", ""
"035000525963", "400", "Toothpastes", "", "", ""
"035000763723", "350", "Toothpastes", "", "", ""
"035000763716", "200", "Toothpastes", "", "", ""
"037000948568", "500", "Toothpastes", "", "", ""
"037000947714", "350", "Toothpastes", "", "", ""
"032251202704", "500", "Toothpastes", "", "", ""
"035000766908", "500", "Toothpastes", "", "", ""
"035000763792", "400", "Toothpastes", "", "", ""
"035000767103", "200", "Toothpastes", "", "", ""
"037000926924", "100", "Toothpastes", "", "", ""
"037000812807", "425", "Toothpastes", "", "", ""
"037000947820", "350", "Toothpastes", "", "", ""
"310158062042", "500", "Toothpastes", "", "", ""
"076660300514", "475", "Toothpastes", "", "", ""
"310158062141", "195", "Toothpastes", "", "", ""
"032251004278", "285", "Toothpastes", "", "", ""
"076660008663", "475", "Toothpastes", "", "", ""
"076660008625", "215", "Toothpastes", "", "", ""
"310158054603", "375", "Toothpastes", "", "", ""
"310158054559", "500", "Toothpastes", "", "", ""
"310158054702", "375", "Toothpastes", "", "", ""
"032251004261", "175", "Toothpastes", "", "", ""
"032251004230", "175", "Toothpastes", "", "", ""
"310158053606", "250", "Toothpastes", "", "", ""
"032251004247", "175", "Toothpastes", "", "", ""
"814832015862", "275", "Toothpastes", "", "", ""
"011509001627", "385", "Toothpastes", "", "", ""
"011509001634", "385", "Toothpastes", "", "", ""
"046798771029", "300", "Pet", "", "", ""
"073091885139", "250", "Pet", "", "", ""
"073091025405", "300", "Pet", "", "", ""
"073091018643", "400", "Pet", "", "", ""
"073091024385", "295", "Pet", "", "", ""
"027000419021", "100", "PUDDING CUPS", "", "", ""
"027000419328", "100", "PUDDING CUPS", "", "", ""
"027000419007", "100", "PUDDING CUPS", "", "", ""
"027000419014", "100", "PUDDING CUPS", "", "", ""
"027000419038", "100", "PUDDING CUPS", "", "", ""
"027000419205", "100", "PUDDING CUPS", "", "", ""
"027000419229", "100", "PUDDING CUPS", "", "", ""
"027000419199", "100", "PUDDING CUPS", "", "", ""
"801582001399", "100", "Dog food", "", "", ""
"070155142825", "200", "Dog food", "", "", ""
"070155142795", "200", "Dog food", "", "", ""
"801582001412", "100", "Dog food", "", "", ""
"079100513529", "275", "Dog food", "", "", ""
"079100942039", "275", "Dog food", "", "", ""
"011132006815", "200", "Dog food", "", "", ""
"848108001204", "375", "Dog food", "", "", ""
"848108001235", "200", "Dog food", "", "", ""
"848108000528", "100", "Dog food", "", "", ""
"091093833354", "275", "Dog food", "", "", ""
"091093833392", "250", "Dog food", "", "", ""
"091093833378", "275", "Dog food", "", "", ""
"015958976840", "165", "Dog food", "", "", ""
"015958976857", "200", "Dog food", "", "", ""
"091093822334", "225", "Dog food", "", "", ""
"091093822341", "200", "Dog food", "", "", ""
"604142520152", "300", "Dog food", "", "", ""
"615650300273", "295", "Dog food", "", "", ""
"430000156979", "355", "Dog food", "", "", ""
"015958983787", "200", "Dog food", "", "", ""
"079100522866", "200", "Dog food", "", "", ""
"079100522859", "200", "Dog food", "", "", ""
"023100101606", "200", "Dog food", "", "", ""
"615650450213", "250", "Dog food", "", "", ""
"615650220403", "200", "Dog food", "", "", ""
"615650260102", "180", "Dog food", "", "", ""
"015958985040", "250", "Dog food", "", "", ""
"845352060131", "200", "Dog food", "", "", ""
"845352070086", "200", "Dog food", "", "", ""
"011132171766", "200", "Dog food", "", "", ""
"011132171384", "300", "Dog food", "", "", ""
"023100103068", "395", "Dog food", "", "", ""
"023100117089", "395", "Dog food", "", "", ""
"023100108605", "395", "Dog food", "", "", ""
"023100110691", "395", "Dog food", "", "", ""
"772924504062", "200", "Dog food", "", "", ""
"012344110017", "200", "Dog food", "", "", ""
"071190006684", "325", "Dog food", "", "", ""
"073091822233", "200", "Dog food", "", "", ""
"877869006500", "100", "Dog food", "", "", ""
"038100106551", "300", "Dog food", "", "", ""
"017800158435", "100", "Dog food", "", "", ""
"011171269639", "850", "brooms and mops", "", "", ""
"011171560880", "900", "brooms and mops", "", "", ""
"741943236308", "200", "brooms and mops", "", "", ""
"011171265006", "500", "brooms and mops", "", "", ""
"011171568725", "850", "brooms and mops", "", "", ""
"011171466144", "1200", "brooms and mops", "", "", ""
"011171567643", "800", "brooms and mops", "", "", ""
"011171568749", "750", "brooms and mops", "", "", ""
"011171248900", "450", "brooms and mops", "", "", ""
"082269720301", "650", "brooms and mops", "", "", ""
"037000169420", "300", "brooms and mops", "", "", ""
"037000928041", "500", "brooms and mops", "", "", ""
"430000487950", "600", "brooms and mops", "", "", ""
"037000809005", "1000", "brooms and mops", "", "", ""
"430000565702", "750", "brooms and mops", "", "", ""
"037000928140", "1200", "brooms and mops", "", "", ""
"037000928164", "1700", "brooms and mops", "", "", ""
"037000928102", "2400", "brooms and mops", "", "", ""
"070800941469", "450", "Frozen wieners and bacon", "", "", ""
"070800041466", "450", "Frozen wieners and bacon", "", "", ""
"027815300569", "225", "Frozen wieners and bacon", "", "", ""
"072290000008", "375", "Frozen wieners and bacon", "", "", ""
"046600550057", "350", "Frozen wieners and bacon", "", "", ""
"046600550033", "350", "Frozen wieners and bacon", "", "", ""
"046600350053", "350", "Frozen wieners and bacon", "", "", ""
"027815300507", "325", "Frozen wieners and bacon", "", "", ""
"027815001114", "325", "Frozen wieners and bacon", "", "", ""
"704051701038", "450", "Frozen wieners and bacon", "", "", ""
"050100006037", "275", "Frozen wieners and bacon", "", "", ""
"050100006013", "150", "Frozen wieners and bacon", "", "", ""
"027815001237", "250", "Frozen wieners and bacon", "", "", ""
"046600000705", "250", "Frozen wieners and bacon", "", "", ""
"037000940593", "995", "Frozen wieners and bacon", "", "", ""
"037000941460", "995", "Frozen wieners and bacon", "", "", ""
"072105011489", "450", "Frozen wieners and bacon", "", "", ""
"037000941149", "500", "Frozen wieners and bacon", "", "", ""
"072250017565", "210", "Corn and flour Tuqrlta", "", "", ""
"072250017558", "210", "Corn and flour Tuqrlta", "", "", ""
"027331000608", "170", "Corn and flour Tuqrlta", "", "", ""
"027331000332", "200", "Corn and flour Tuqrlta", "", "", ""
"027331000363", "240", "Corn and flour Tuqrlta", "", "", ""
"4895153308921", "700", "Pet [EAN 13]", "", "", ""
"4895153308631", "355", "Pet [EAN 13]", "", "", ""
"4895153313604", "595", "Pet [EAN 13]", "", "", ""
"4895153308372", "375", "Pet [EAN 13]", "", "", ""
"4895153312829", "295", "Pet [EAN 13]", "", "", ""
"4895153313727", "300", "Pet [EAN 13]", "", "", ""
"4895153312867", "750", "Pet [EAN 13]", "", "", ""
"4895153308358", "550", "Pet [EAN 13]", "", "", ""
"4895153313581", "495", "Pet [EAN 13]", "", "", ""
"4895153313703", "100", "Pet [EAN 13]", "", "", ""
"4895153308327", "100", "Pet [EAN 13]", "", "", ""
"4895153308303", "300", "Pet [EAN 13]", "", "", ""
"4895153313390", "350", "Pet [EAN 13]", "", "", ""
"4895153313673", "495", "Pet [EAN 13]", "", "", ""
"4895153313598", "495", "Pet [EAN 13]", "", "", ""
"4895153360233", "495", "Pet [EAN 13]", "", "", ""
"4895153308280", "495", "Pet [EAN 13]", "", "", ""
"4895153313642", "295", "Pet [EAN 13]", "", "", ""
"4895153313680", "300", "Pet [EAN 13]", "", "", ""
"4895153308082", "200", "Pet [EAN 13]", "", "", ""
"4895153308150", "150", "Pet [EAN 13]", "", "", ""
"4895153308105", "225", "Pet [EAN 13]", "", "", ""
"4895153308365", "350", "Pet [EAN 13]", "", "", ""
"056100007067", "425", "bath", "", "", ""
"037000321361", "150", "bath", "", "", ""
"037000000532", "150", "bath", "", "", ""
"816559011561", "350", "bath", "", "", ""
"816559010748", "350", "bath", "", "", ""
"816559010694", "200", "bath", "", "", ""
"816559010700", "200", "bath", "", "", ""
"017000039626", "495", "bath", "", "", ""
"017000039619", "495", "bath", "", "", ""
"851179002223", "450", "bath", "", "", ""
"011111040946", "600", "bath", "", "", ""
"011111312395", "600", "bath", "", "", ""
"011111121850", "600", "bath", "", "", ""
"011111403895", "600", "bath", "", "", ""
"011111515598", "500", "bath", "", "", ""
"011111471153", "500", "bath", "", "", ""
"851179002216", "250", "bath", "", "", ""
"011111040908", "350", "bath", "", "", ""
"011111040915", "350", "bath", "", "", ""
"851179002209", "250", "bath", "", "", ""
"011111553460", "350", "bath", "", "", ""
"011111040922", "350", "bath", "", "", ""
"037000844259", "400", "bath", "", "", ""
"037000844327", "400", "bath", "", "", ""
"011111471863", "275", "bath", "", "", ""
"011111471481", "275", "bath", "", "", ""
"011111471511", "275", "bath", "", "", ""
"072785115460", "400", "bath", "", "", ""
"011111122246", "550", "bath", "", "", ""
"072785115446", "400", "bath", "", "", ""
"011111079731", "550", "bath", "", "", ""
"072785115453", "400", "bath", "", "", ""
"011111124257", "550", "bath", "", "", ""
"067153942533", "400", "bath", "", "", ""
"037000856405", "400", "bath", "", "", ""
"037000912200", "400", "bath", "", "", ""
"072785115507", "250", "bath", "", "", ""
"037000856368", "400", "bath", "", "", ""
"072140018627", "350", "bath", "", "", ""
"072140020576", "350", "bath", "", "", ""
"072140020552", "350", "bath", "", "", ""
"072140005443", "250", "bath", "", "", ""
"017000050140", "325", "bath", "", "", ""
"037000925675", "400", "bath", "", "", ""
"037000919834", "300", "bath", "", "", ""
"074182280338", "300", "bath", "", "", ""
"074182280567", "300", "bath", "", "", ""
"074182281724", "300", "bath", "", "", ""
"074182289379", "300", "bath", "", "", ""
"809219080007", "150", "bath", "", "", ""
"809219000937", "150", "bath", "", "", ""
"809219600038", "150", "bath", "", "", ""
"072785115392", "200", "bath", "", "", ""
"072785115385", "200", "bath", "", "", ""
"072785115361", "200", "bath", "", "", ""
"072785115378", "200", "bath", "", "", ""
"072785115491", "250", "bath", "", "", ""
"072785115484", "250", "bath", "", "", ""
"037000919827", "150", "bath", "", "", ""
"037000919841", "300", "bath", "", "", ""
"022700578993", "600", "bath", "", "", ""
"059647510588", "100", "Chemical cleaning", "", "", ""
"059647510571", "100", "Chemical cleaning", "", "", ""
"081238198578", "400", "Chemical cleaning", "", "", ""
"071287862629", "350", "Chemical cleaning", "", "", ""
"044600016566", "485", "Chemical cleaning", "", "", ""
"035140702675", "190", "Chemical cleaning", "", "", ""
"071287861806", "350", "Chemical cleaning", "", "", ""
"044600016283", "485", "Chemical cleaning", "", "", ""
"035140702354", "100", "Chemical cleaning", "", "", ""
"019800201333", "325", "Chemical cleaning", "", "", ""
"071287836972", "600", "Chemical cleaning", "", "", ""
"044600015996", "800", "Chemical cleaning", "", "", ""
"019800317690", "325", "Chemical cleaning", "", "", ""
"071287836323", "185", "Chemical cleaning", "", "", ""
"019200811453", "250", "Chemical cleaning", "", "", ""
"019200833073", "475", "Chemical cleaning", "", "", ""
"019200850179", "250", "Chemical cleaning", "", "", ""
"071287861295", "185", "Chemical cleaning", "", "", ""
"044600015941", "250", "Chemical cleaning", "", "", ""
"044600016733", "450", "Chemical cleaning", "", "", ""
"019200793261", "535", "Chemical cleaning", "", "", ""
"019200793292", "535", "Chemical cleaning", "", "", ""
"022700007295", "450", "Chemical cleaning", "", "", ""
"022700103225", "450", "Chemical cleaning", "", "", ""
"037000965633", "200", "Dish cleaner", "", "", ""
"037000965534", "200", "Dish cleaner", "", "", ""
"037000965558", "200", "Dish cleaner", "", "", ""
"023400016204", "100", "Dish", "", "", ""
"023400998081", "100", "Dish", "", "", ""
"019800036591", "100", "Dish", "", "", ""
"023400354498", "100", "Dish", "", "", ""
"023400350018", "100", "Dish", "", "", ""
"019800036638", "100", "Dish", "", "", ""
"019800036744", "100", "Dish", "", "", ""
"023400010707", "100", "Dish", "", "", ""
"019800036676", "100", "Dish", "", "", ""
"305732883113", "800", "Stomach medicine", "", "", ""
"370030659289", "350", "Stomach medicine", "", "", ""
"301320079500", "350", "Stomach medicine", "", "", ""
"301320185829", "475", "Stomach medicine", "", "", ""
"072785104549", "200", "Stomach medicine", "", "", ""
"079068007214", "400", "Stomach medicine", "", "", ""
"312843393240", "150", "Stomach medicine", "", "", ""
"370030658763", "200", "Stomach medicine", "", "", ""
"072785106086", "125", "Stomach medicine", "", "", ""
"079068007221", "125", "Stomach medicine", "", "", ""
"072785104556", "200", "Stomach medicine", "", "", ""
"715256431187", "385", "Stomach medicine", "", "", ""
"301490039564", "475", "Stomach medicine", "", "", ""
"715256402446", "585", "Stomach medicine", "", "", ""
"370030658312", "385", "Stomach medicine", "", "", ""
"301490039083", "275", "Stomach medicine", "", "", ""
"715256431187", "500", "Stomach medicine", "", "", ""
"301490039083", "400", "Stomach medicine", "", "", ""
"301490039908", "450", "Stomach medicine", "", "", ""
"301490320402", "225", "Stomach medicine", "", "", ""
"370030659449", "275", "Stomach medicine", "", "", ""
"035000463173", "200", "Dish", "", "", ""
"051500253625", "295", "Dish", "", "", ""
"051500239131", "250", "Dish", "", "", ""
"044600315706", "500", "Chemical cleaning", "", "", ""
"044600311937", "500", "Chemical cleaning", "", "", ""
"043152015317", "450", "Chemical cleaning", "", "", ""
"035000530585", "600", "Chemical cleaning", "", "", ""
"044600313344", "200", "Chemical cleaning", "", "", ""
"093973980554", "100", "Chemical cleaning", "", "", ""
"035000531049", "200", "Chemical cleaning", "", "", ""
"035000530967", "200", "Chemical cleaning", "", "", ""
"035000530981", "200", "Chemical cleaning", "", "", ""
"035000530301", "300", "Chemical cleaning", "", "", ""
"035000531254", "300", "Chemical cleaning", "", "", ""
"035000531001", "300", "Chemical cleaning", "", "", ""
"035000530325", "300", "Chemical cleaning", "", "", ""
"041294419048", "300", "Chemical cleaning", "", "", ""
"041294401128", "300", "Chemical cleaning", "", "", ""
"041294401999", "300", "Chemical cleaning", "", "", ""
"041294973250", "300", "Chemical cleaning", "", "", ""
"037000510239", "300", "Chemical cleaning", "", "", ""
"037000976707", "300", "Chemical cleaning", "", "", ""
"037000827078", "215", "Chemical cleaning", "", "", ""
"041294401876", "200", "Chemical cleaning", "", "", ""
"041294973625", "200", "Chemical cleaning", "", "", ""
"041294973267", "200", "Chemical cleaning", "", "", ""
"037000233725", "300", "Chemical cleaning", "", "", ""
"019200955270", "300", "Chemical cleaning", "", "", ""
"019200906463", "300", "Chemical cleaning", "", "", ""
"019200899628", "300", "Chemical cleaning", "", "", ""
"072785115538", "150", "Chemical cleaning", "", "", ""
"035140122886", "100", "Chemical cleaning", "", "", ""
"043000204337", "idk", "GELATIN or PUDDING MIXES", "", "", ""
"043000204313", "idk", "GELATIN or PUDDING MIXES", "", "", ""
"043000200018", "idk", "GELATIN or PUDDING MIXES", "", "", ""
"811568004344", "500", "Nutrition and diets", "", "", ""
"867500000103", "465", "Nutrition and diets", "", "", ""
"634567999301", "300", "Nutrition and diets", "", "", ""
"634567991305", "300", "Nutrition and diets", "", "", ""
"885898000086", "600", "Nutrition and diets", "", "", ""
"076314321087", "450", "Nutrition and diets", "", "", ""
"076314302987", "450", "Nutrition and diets", "", "", ""
"763089013667", "600", "Nutrition and diets", "", "", ""
"763089013629", "600", "Nutrition and diets", "", "", ""
"070074407111", "800", "Nutrition and diets", "", "", ""
"041679940662", "900", "Nutrition and diets", "", "", ""
"358286980081", "450", "Nutrition and diets", "", "", ""
"878114014080", "500", "Nutrition and diets", "", "", ""
"710363570538", "200", "Nutrition and diets", "", "", ""
"092961040096", "500", "Nutrition and diets", "", "", ""
"072959060220", "375", "Nutrition and diets", "", "", ""
"081555773694", "100", "Cosmetic", "", "", ""
"081555770877", "100", "Cosmetic", "", "", ""
"081555770921", "100", "Cosmetic", "", "", ""
"081555770846", "100", "Cosmetic", "", "", ""
"081555770907", "100", "Cosmetic", "", "", ""
"081555770884", "100", "Cosmetic", "", "", ""
"081555770969", "100", "Cosmetic", "", "", ""
"081555770921", "100", "Cosmetic", "", "", ""
"081555773618", "100", "Cosmetic", "", "", ""
"081555770860", "100", "Cosmetic", "", "", ""
"081555770853", "100", "Cosmetic", "", "", ""
"081555773694", "100", "Cosmetic", "", "", ""
"370030658701", "450", "Cold flu relief", "", "", ""
"323900038158", "900", "Cold flu relief", "", "", ""
"323900038141", "750", "Cold flu relief", "", "", ""
"370030658572", "425", "Cold flu relief", "", "", ""
"351013175040", "500", "Cold flu relief", "", "", ""
"370030640027", "550", "Cold flu relief", "", "", ""
"370030659555", "400", "Cold flu relief", "", "", ""
"323900014275", "800", "Cold flu relief", "", "", ""
"323900014251", "700", "Cold flu relief", "", "", ""
"323900038486", "900", "Cold flu relief", "", "", ""
"323900038493", "800", "Cold flu relief", "", "", ""
"370030659425", "600", "Cold flu relief", "", "", ""
"323900014268", "800", "Cold flu relief", "", "", ""
"359726480482", "700", "Cold flu relief", "", "", ""
"370030168583", "350", "Cold flu relief", "", "", ""
"016500562733", "650", "Cold flu relief", "", "", ""
"016500559399", "500", "Cold flu relief", "", "", ""
"016500559429", "500", "Cold flu relief", "", "", ""
"016500543473", "475", "Cold flu relief", "", "", ""
"016500537601", "600", "Cold flu relief", "", "", ""
"016500537618", "600", "Cold flu relief", "", "", ""
"730637023010", "250", "Cold flu relief", "", "", ""
"016500537595", "475", "Cold flu relief", "", "", ""
"730637022013", "250", "Cold flu relief", "", "", ""
"016500537649", "475", "Cold flu relief", "", "", ""
"095188021282", "200", "Unknown", "", "", ""
